date,close,volume,open,high,low
16:00,$202.64,46882304.0,209.43,212.051,201.0
2019/08/23,$202.64,46882840.0,209.43,212.051,201.0
2019/08/22,$212.46,22267820.0,213.19,214.435,210.75
2019/08/21,$212.64,21564750.0,212.99,213.65,211.6032
2019/08/20,$210.36,26919530.0,210.88,213.35,210.32
2019/08/19,$210.35,24431920.0,210.62,212.7307,210.025
2019/08/16,$206.5,28813620.0,204.28,207.16,203.84
2019/08/15,$201.74,27883360.0,203.46,205.14,199.67
2019/08/14,$202.75,36547440.0,203.16,206.44,202.5869
2019/08/13,$208.97,47539790.0,201.02,212.14,200.83
2019/08/12,$200.48,22481890.0,199.62,202.0516,199.15
2019/08/09,$200.99,24619750.0,201.3,202.76,199.29
2019/08/08,$203.43,27009520.0,200.2,203.53,199.39
2019/08/07,$199.04,33364400.0,195.41,199.56,193.82
2019/08/06,$197.0,35824790.0,196.31,198.067,194.04
2019/08/05,$193.34,52392970.0,197.99,198.649,192.58
2019/08/02,$204.02,40862120.0,205.53,206.43,201.63
2019/08/01,$208.43,54017920.0,213.9,218.03,206.7435
2019/07/31,$213.04,69281360.0,216.42,221.37,211.3
2019/07/30,$208.78,33935720.0,208.76,210.16,207.31
2019/07/29,$209.68,21673390.0,208.46,210.64,208.44
2019/07/26,$207.74,17618870.0,207.48,209.73,207.14
2019/07/25,$207.02,13909560.0,208.89,209.24,206.73
2019/07/24,$208.67,14991570.0,207.67,209.15,207.17
2019/07/23,$208.84,18355210.0,208.46,208.91,207.29
2019/07/22,$207.22,22277930.0,203.65,207.23,203.61
2019/07/19,$202.59,20929310.0,205.79,206.5,202.36
2019/07/18,$205.66,18582160.0,204.0,205.88,203.7
2019/07/17,$203.35,14107450.0,204.05,205.0915,203.27
2019/07/16,$204.5,16866820.0,204.59,206.11,203.5
2019/07/15,$205.21,16947420.0,204.09,205.87,204.0
2019/07/12,$203.3,17595210.0,202.45,204.0,202.2
2019/07/11,$201.75,20191840.0,203.31,204.39,201.71
2019/07/10,$203.23,17897140.0,201.85,203.73,201.56
2019/07/09,$201.24,20578020.0,199.2,201.51,198.81
2019/07/08,$200.02,25338630.0,200.81,201.4,198.41
2019/07/05,$204.23,17265520.0,203.35,205.08,202.9
2019/07/03,$204.41,11362050.0,203.28,204.44,202.6901
2019/07/02,$202.73,16935220.0,201.41,203.1323,201.36
